Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
10430217,00000010,false,Rx,9,3,B0,0D,00,00,00,00,00,00,
10435125,00000008,false,Rx,9,3,B0,01,10,00,00,00,00,00,
10442790,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
10445040,00000040,false,Rx,9,3,B0,01,0C,00,00,00,00,00,
10448981,00000010,false,Rx,9,7,B0,01,0C,11,0C,0D,00,00,
10455168,00000008,false,Rx,9,3,B0,01,10,00,00,00,00,00,
10462857,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
10465020,00000040,false,Rx,9,3,B0,01,0C,00,00,00,00,00,
10468046,0000029C,false,Rx,9,3,03,00,1A,00,00,00,00,00,
10469578,00000010,false,Rx,9,7,B0,01,0C,11,0C,0D,00,00,
10475487,00000008,false,Rx,9,7,B0,01,10,0C,B6,0D,00,00,
10482835,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
10485300,00000040,false,Rx,9,3,B0,01,0C,00,00,00,00,00,
10489013,00000010,false,Rx,9,7,B0,01,0C,11,0C,0D,00,00,
10491692,000002BC,false,Rx,9,3,03,00,0B,00,00,00,00,00,
10495239,00000008,false,Rx,9,3,B0,01,10,00,00,00,00,00,
10503560,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
10505613,00000040,false,Rx,9,3,B0,01,0C,00,00,00,00,00,
10507327,000002B4,false,Rx,9,3,03,00,0A,00,00,00,00,00,
10509466,00000010,false,Rx,9,7,B0,01,0C,11,0C,0D,00,00,
10515097,00000008,false,Rx,9,3,B0,01,10,00,00,00,00,00,
10522780,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
10525666,00000040,false,Rx,9,3,B0,01,0C,00,00,00,00,00,
10527379,000003AC,false,Rx,9,3,03,00,1D,00,00,00,00,00,
10529414,00000010,false,Rx,9,7,B0,01,0C,11,0C,0D,00,00,
10535145,00000008,false,Rx,9,3,B0,01,10,00,00,00,00,00,
10543524,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
10545678,00000040,false,Rx,9,3,B0,01,0C,00,00,00,00,00,
10547390,000003A4,false,Rx,9,3,03,00,2C,00,00,00,00,00,
10549425,00000010,false,Rx,9,7,B0,01,0C,11,0C,0D,00,00,
10555165,00000008,false,Rx,9,3,B0,01,10,00,00,00,00,00,
10562846,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
10565625,00000040,false,Rx,9,3,B0,01,0C,00,00,00,00,00,
10569037,00000010,false,Rx,9,7,B0,01,0C,11,0C,0D,00,00,
10575182,00000008,false,Rx,9,3,B0,01,10,00,00,00,00,00,
10582912,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
10585813,00000040,false,Rx,9,3,B0,01,0C,00,00,00,00,00,
10588864,0000029C,false,Rx,9,3,03,00,1A,00,00,00,00,00,
10589945,00000010,false,Rx,9,7,B0,01,0C,11,0C,0D,00,00,
10594497,00000010,false,Rx,9,4,30,08,00,2D,00,00,00,00,
10595133,00000008,false,Rx,9,3,B0,01,10,00,00,00,00,00,
10595896,00000010,false,Rx,9,4,31,08,00,2C,00,00,00,00,
10596660,00000040,false,Rx,9,3,B0,2D,A6,00,00,00,00,00,
10602931,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
10606240,00000040,false,Rx,9,8,B0,01,0C,93,E5,00,14,00,
10607219,00000040,false,Rx,9,3,B0,2D,A6,00,00,00,00,00,
10608726,000002BC,false,Rx,9,3,03,00,0B,00,00,00,00,00,
10610816,00000010,false,Rx,9,7,B0,01,0C,11,0C,0D,00,00,
10615138,00000008,false,Rx,9,3,B0,01,10,00,00,00,00,00,
10622906,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
10625689,00000040,false,Rx,9,3,B0,01,0C,00,00,00,00,00,
10627516,000002B4,false,Rx,9,3,03,00,0A,00,00,00,00,00,
10629020,00000010,false,Rx,9,7,B0,01,0C,11,0C,0E,40,00,
10630206,00000010,false,Rx,9,3,B0,0D,00,00,00,00,00,00,
10635189,00000008,false,Rx,9,3,B0,01,10,00,00,00,00,00,
10642962,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
10645753,00000040,false,Rx,9,3,B0,01,0C,00,00,00,00,00,
10647466,000003AC,false,Rx,9,3,03,00,1D,00,00,00,00,00,
10649396,00000010,false,Rx,9,7,B0,01,0C,11,0C,0D,00,00,
